"title","code","category","subcategory","summary","price"
"API Key Manager","API","Core","Silver","Allow developers to access system data.","$1000"
"Archived Session Viewer","ARC","Core","Silver","Replay past classes or meetings.","$1000"
"Assignment Submission System","ASM","Core","Gold","Tracks deadlines and evaluates submissions.","$2000"
"Attendance Tracker","ATT","Core","Silver","Monitor presence, participation, and engagement.","$1000"
"Auto-Save & Draft Mode","DRF","Core","Silver","Prevent loss while building content.","$1000"
"Badge & Achievement Tracker","BAD","Core","Gold","Gamified milestone system.","$2000"
"Bulk User Import","BUL","Core","Silver","Upload CSV of users or data for fast onboarding.","$1000"
"Calendar Sync Module","CSM","Core","Silver","Sync events to Google, Apple, or Outlook calendars.","$1000"
"Certificate Generator","CRT","Core","Silver","Auto-generate branded certificates upon course completion.","$1000"
"Class Roster Tool","ROS","Core","Silver","View, filter, and export student enrollment lists.","$1000"
"Content Visibility Settings","VIS","Core","Silver","Show/hide based on progress, role, or time.","$1000"
"Course Builder","BLD","Core","Gold","Drag-and-drop tools to assemble learning materials.","$2000"
"Course Duplication Tool","DUP","Core","Gold","Copy entire course structures with content.","$2000"
"Cross-Course Navigation","CCN","Core","Silver","Let students switch between multiple enrollments.","$1000"
"Customizable Homepage","CHP","Core","Silver","Personalized dashboard layout per role.","$1000"
"Dark Mode Toggle","DRK","Core","Bronze","Accessibility feature for night-friendly UI.","$500"
"Discussion Forums","FOR","Core","Silver","Threaded communication spaces per course.","$1000"
"Document Annotation Tool","ANT","Core","Gold","Highlight or comment on PDFs and documents.","$2000"
"Event Announcement Tool","EVT","Core","Silver","Highlight school events on dashboards.","$1000"
"File Upload Module","UPL","Core","Silver","Secure student or admin uploads (e.g. homework, forms).","$1000"
"Gradebook System","GRD","Core","Gold","Enter, calculate, and publish grades.","$2000"
"Interactive Exercises","INT","Core","Gold","Embed drag/drop, matching, and fill-in-the-blank activities.","$2000"
"Language Localization Engine","LOC","Core","Platinum","Translate UI and content per user locale.","$3500"
"Learning Path Builder","LPB","Core","Platinum","Sequence multiple courses or modules into tracks.","$3500"
"Lesson Scheduler","SCH","Core","Gold","Schedule live sessions, deadlines, and availability.","$2000"
"Live Session Room Launcher","LSR","Core","Gold","Join video or audio class directly in-platform.","$2000"
"Media Gallery","MED","Core","Silver","Organize and reuse images, audio, and video.","$1000"
"Mobile Optimized Interface","MBL","Core","Bronze","Adaptive design for phone and tablet usage.","$500"
"Multi-institution Support","MIS","Core","Diamond","Host multiple schools or branches under one system.","$6000"
"Notification Manager","NTF","Core","Silver","Control in-app, email, and SMS alerts.","$1000"
"Onboarding Walkthrough","OBD","Core","Silver","Step-by-step intro for new users or admins.","$1000"
"Profile Manager","PRF","Core","Bronze","Edit avatar, name, contact info, and visibility.","$500"
"Progress Analytics","ANA","Core","Gold","Visualize individual and group performance over time.","$2000"
"Quiz Builder","QBZ","Core","Gold","Create multiple choice, open response, and timed quizzes.","$2000"
"Resource Locker","RSC","Core","Silver","Downloadable resources tied to each course or session.","$1000"
"Role Management Panel","RMP","Core","Diamond","Assign permissions and manage user roles.","$6000"
"Sandbox Testing Environment","SND","Core","Gold","Isolated test space for admins or teachers.","$2000"
"Session Booking System","BOK","Core","Silver","Book one-on-one or group appointments with staff.","$1000"
"Support Ticket Submission","SUP","Core","Silver","Internal help desk with ticket tracking.","$1000"
"Survey & Feedback Tool","SFB","Core","Silver","Collect structured responses from users.","$1000"
"Tagging & Labeling System","TAG","Core","Bronze","Categorize content, users, or submissions.","$500"
"Terms & Consent Management","TRM","Core","Silver","Log user agreement to terms, policies, and waivers.","$1000"
"Time Zone Normalizer","TZN","Core","Bronze","Display all dates/times in local time per user.","$500"
"Timetable Viewer","TIM","Core","Silver","Weekly or monthly calendar for all scheduled sessions.","$1000"
"Account Verification Workflow","VER","Authentication","Standard","Ensure email or phone number is confirmed before enabling full access.","$500"
"Email & Password Sign-In","EPS","Authentication","Included","Standard login using registered email and secure password.","$0"
"Invite-Only Registration Flow","INV","Authentication","Gold","Restrict new sign-ups to approved invitation links.","$2000"
"IP Restriction Tools","IPR","Authentication","Gold","Limit access based on geographic or institutional IP ranges.","$2000"
"Login Activity Log","LOGN","Authentication","Standard","Track and display user login history, device, and IP metadata.","$500"
"Password Reset System","RST","Authentication","Included","Secure email-based password recovery and reset flow.","$0"
"Role-Based Access Control","RBAC","Authentication","Included","Define permissions and access based on user roles (admin, student, instructor).","$0"
"Social Login Options","SOC","Authentication","Standard","Allow users to authenticate via Google, Facebook, or other platforms.","$500"
"Two-Factor Authentication","TFA","Authentication","Gold","Enhance account security with optional 2FA via email or authenticator app.","$2000"
"User Ban & Suspension Controls","BAN","Authentication","Standard","Temporarily or permanently disable user access as needed.","$500"
"Announcement Banner System","ANN","Communication","Silver","Sticky notices shown on dashboards or course views.","$1000"
"Attachment Support in Chat","ATT","Communication","Silver","Upload PDFs, images, and files directly into message threads.","$1000"
"Automated Reply Templates","ART","Communication","Silver","Prewritten responses for common support or admin interactions.","$1000"
"Broadcast to Role Groups","BRD","Communication","Gold","Target messages to user groups.","$2000"
"Communication Logs Dashboard","LOG","Communication","Gold","Admin-level overview of all messages for monitoring or support.","$2000"
"Cross-Device Sync","CDS","Communication","Gold","Ensure chat and notifications are mirrored across all user devices.","$2000"
"Custom Notification Preferences","CNP","Communication","Silver","Let users opt-in/out of email, SMS, or in-app alerts.","$1000"
"Escalation Chain for Unread Messages","ESC","Communication","Gold","Alert higher-tier staff if messages go unacknowledged.","$2000"
"Inbox Management Module","INB","Communication","Gold","Centralized interface for reading and responding to all message types.","$2000"
"Message Scheduling Tool","SCH","Communication","Gold","Send messages at future times based on user timezone.","$2000"
"Message Search & Filtering","MSG","Communication","Gold","Locate specific messages or conversations quickly.","$2000"
"Moderation Controls","MOD","Communication","Gold","Tools to mute, remove, or report inappropriate messages or threads.","$2000"
"Private Message Threads","PMT","Communication","Gold","Secure one-on-one conversations between users (e.g., student–teacher).","$2000"
"Read Receipts & Delivery Status","RDS","Communication","Silver","Confirms when a message is delivered and seen.","$1000"
"Realtime Status Presence","PRS","Communication","Silver","Indicates online, away, or offline status of users in communication tools.","$1000"
"Thread Tagging & Labels","THR","Communication","Silver","Add tags to organize threads (e.g., “discipline,” “finance,” “lesson”).","$1000"
"Threaded Email Integration","EML","Communication","Gold","Sync internal messages with external email replies.","$2000"
"Typing Indicator System","TYP","Communication","Silver","Shows when the other person is composing a message.","$1000"
"User Mention System","MEN","Communication","Silver","Tag users in group conversations or discussions.","$1000"
"Voice Message Integration","VMI","Communication","Silver","Record and send audio messages inside messaging system.","$1000"
"AI Assessment Engine","AAS","AI","Platinum","Evaluates answers using rubrics, heuristics, or machine-learned scoring models.","$3500"
"AI-Based Rubric Grader","RUB","AI","Platinum","Assigns scores and explanations based on structured rubric criteria.","$3500"
"AI Chat Assistant","AIC","AI","Gold","Conversational interface trained to answer user questions contextually across the platform.","$2000"
"AI Content Rewriter","REW","AI","Silver","Rephrases or improves user input for tone, clarity, and engagement.","$1000"
"AI Essay Scorer","ESS","AI","Platinum","Evaluates long-form text for grammar, logic, clarity, and originality.","$3500"
"AI Feedback on Video Submissions","VFB","AI","Gold","Analyzes tone, pacing, and clarity in recorded responses.","$2000"
"AI-Powered Dashboard Widgets","WGT","AI","Gold","Dynamic components that surface insights or tips based on user behavior.","$2000"
"AI-Powered Flashcard Generator","FCG","AI","Gold","Converts lesson content into study flashcards automatically.","$2000"
"AI-Powered Image Generator","IMG","AI","Gold","Creates illustrations, icons, or diagrams on demand.","$2000"
"AI Reading Level Detector","ARD","AI","Silver","Analyzes user input to determine language complexity and grade level.","$1000"
"AI Text Feedback Generator","ATF","AI","Gold","Provides auto-generated feedback on student writing or open responses.","$2000"
"AI Text Summarizer","SUM","AI","Silver","Condenses long documents or student submissions into brief, meaningful summaries.","$1000"
"AI Topic Classifier","CLS","AI","Silver","Automatically assigns categories or tags to user input based on detected subject matter.","$1000"
"AI Transcription Module","TRN","AI","Silver","Converts uploaded or recorded audio/video into accurate written transcripts.","$1000"
"AI Translation System","TRS","AI","Silver","Automatically translates content between supported languages in real-time.","$1000"
"AI Voice Feedback Tool","AVF","AI","Gold","Converts written feedback into natural-sounding speech for accessibility or reinforcement.","$2000"
"Auto-Categorization Pipeline","ACP","AI","Silver","Organizes content automatically by predefined types or topics.","$1000"
"Automated Content Tagging","TGG","AI","Silver","Adds tags and metadata to uploaded content for better organization.","$1000"
"Automated Report Generator","RPT","AI","Gold","Compiles user activity into formatted PDFs or reports.","$2000"
"Chat History Semantic Search","CHS","AI","Gold","Enables search of past messages using meaning, not just keywords.","$2000"
"Concept Reinforcement Recommender","CRR","AI","Gold","Suggests review materials when user performance drops.","$2000"
"Custom Embedding Generator","EMB","AI","Gold","Encodes content for semantic search and vector queries.","$2000"
"Custom Model Deployment Service","CMD","AI","Titanium","Integrate proprietary or fine-tuned models into your platform securely.","$7500"
"Custom NLP Workflow Setup","NLP","AI","Platinum","Tailored pipelines for processing domain-specific language and inputs.","$3500"
"Data-Driven Personalization Engine","PER","AI","Platinum","Adjusts interface, recommendations, and content based on user data.","$3500"
"Diagram Describer AI","DIA","AI","Gold","Explains the parts and functions of uploaded charts or visuals.","$2000"
"Document Q&A Engine","QAQ","AI","Gold","Lets users ask questions about documents and get instant answers.","$2000"
"Dynamic Writing Prompter","PRM","AI","Silver","Generates creative or academic prompts based on learning context.","$1000"
"Interactive AI Explainer Tool","EXP","AI","Gold","Simplifies complex topics using progressive explanations.","$2000"
"Keyword Highlighter Tool","KWH","AI","Bronze","Highlights important terms, errors, or themes in user input.","$500"
"Language Polisher","POLI","AI","Silver","Rewrites user input to fit tone or audience.","$1000"
"Learning Style Recognizer","LSR","AI","Platinum","Tailors content delivery based on individual learning preferences.","$3500"
"Model Selection Layer","MSL","AI","Gold","Routes tasks to the best-performing model.","$2000"
"Multi-Modal AI Input Handler","MMI","AI","Platinum","Accepts and interprets audio, image, and text in one workflow.","$3500"
"PDF AI Analyzer","PDF","AI","Gold","Summarizes and explains content from PDF documents.","$2000"
"Plagiarism Detection Engine","PLG","AI","Gold","Compares submissions against a large corpus to detect reused content.","$2000"
"Prompt Library Manager","PLM","AI","Silver","Centralizes and standardizes reusable prompts for consistent AI behavior.","$1000"
"Prompt Optimization Layer","POL","AI","Gold","Enhances and sanitizes user prompts before sending to AI models.","$2000"
"Question Generator","QGN","AI","Gold","Creates quiz questions from documents or lesson material.","$2000"
"Rubric-Linked AI Review Tool","RLR","AI","Platinum","Gives feedback aligned with custom grading rubrics.","$3500"
"Script Generator","SCR","AI","Gold","Generates lesson scripts from brief prompts.","$2000"
"Smart Answer Checker","SAC","AI","Gold","Verifies student responses using semantic understanding.","$2000"
"Speech Emotion Detector","SED","AI","Gold","Analyzes tone and pitch to detect mood or confidence.","$2000"
"Speech-to-Text Interface","STT","AI","Silver","Lets users speak instead of typing, with real-time speech recognition.","$1000"
"Structured Output Generator","SOG","AI","Silver","Turns unstructured input into usable formats.","$1000"
"Study Plan Optimizer (LLM-powered)","SPO","AI","Platinum","Creates AI-generated study schedules from goals and data.","$3500"
"Text-to-Speech Player","TTS","AI","Silver","Reads any selected content aloud using high-quality neural voice models.","$1000"
"Time-Tuned Large Language Model Access","TTL","AI","Platinum","Leverages optimized models tuned for latency and task type.","$3500"
"Vector Database Integration","VDB","AI","Platinum","Connects to embedding-powered databases for fast AI lookup.","$3500"
"Voice-Controlled Navigation Assistant","VNA","AI","Silver","Lets users operate the app using voice commands.","$1000"
"Admin Billing Dashboard","ABD","Payment","Platinum","Admin panel to manage subscriptions, invoices, disputes.","$3500"
"API Access for Billing Events","API","Payment","Gold","Allow developers to connect payment events to CRM or LMS.","$2000"
"Auto-Billing Engine","BIL","Payment","Platinum","Automatically charge renewing subscriptions at interval.","$3500"
"Billing Address Collection","ADDR","Payment","Silver","Collect user billing addresses for compliance or receipts.","$1000"
"Chargeback Management Panel","CBK","Payment","Platinum","Track and respond to payment disputes.","$3500"
"Coupon Code System","CPN","Payment","Silver","Create discount codes with expiration, limits, and usage caps.","$1000"
"Custom Pricing Plans","CST","Payment","Platinum","Set flexible pricing per school, region, or partner agreement.","$3500"
"Failed Payment Retry Logic","RTRY","Payment","Gold","Automatically retry failed charges with smart delays.","$2000"
"Gift Code Redemption","GIF","Payment","Silver","Let users apply prepaid credits or unlock features.","$1000"
"Installment Payment Option","INS","Payment","Gold","Break large fees into multiple scheduled payments.","$2000"
"Invoice PDF Exporter","IPX","Payment","Silver","Downloadable PDFs for printing or accounting.","$1000"
"Invoicing System","INV","Payment","Gold","Automatically generate invoices for all transactions.","$2000"
"Manual Invoice Entry (Admin Only)","MAN","Payment","Gold","Manually add, edit, or override billing entries.","$2000"
"Multiple Currency Support","CUR","Payment","Gold","Allow users to pay in their local currency.","$2000"
"One-Time Purchase Checkout","OTP","Payment","Gold","Support single transactions without subscriptions.","$2000"
"Payment History Viewer","PHV","Payment","Silver","Let users view and download past payment records.","$1000"
"Payment Reminder System","REM","Payment","Silver","Send upcoming charge reminders to reduce churn.","$1000"
"PayPal Integration","PPL","Payment","Gold","Accept payments via PayPal wallets or linked cards.","$2000"
"Prepaid Credit Wallet","WAL","Payment","Gold","Add funds to a user wallet for flexible credit-based purchases.","$2000"
"Receipt Generation","RCPT","Payment","Silver","Provide official digital receipts for every transaction.","$1000"
"Refund Processing Workflow","REF","Payment","Gold","Allow admins to issue full or partial refunds securely.","$2000"
"Revenue Reporting Tools","REV","Payment","Gold","View earnings breakdown by period, tier, and region.","$2000"
"Secure Payment Tokenization","TOK","Payment","Platinum","Store card data using PCI-compliant token systems.","$3500"
"Stripe Integration","STP","Payment","Gold","Secure credit/debit card payments through Stripe’s API.","$2000"
"Subscription Cancellation Survey","SUR","Payment","Silver","Collect exit feedback on subscription downgrades.","$1000"
"Subscription Pause & Resume","PAU","Payment","Silver","Let users freeze billing and reactivate when ready.","$1000"
"Subscription Tier Manager","SUB","Payment","Gold","Define and manage monthly or annual pricing plans.","$2000"
"Tax Calculation Module","TAX","Payment","Platinum","Automatically apply tax/VAT based on user location.","$3500"
"Trial Period Manager","TRI","Payment","Silver","Offer limited-time access before activating paid plans.","$1000"
"Usage-Based Billing System","UBB","Payment","Platinum","Charge based on actions like minutes used or credits.","$3500"
"Completion Rate Charts","CRC","Performance","Standard","Visualize course or module completion percentages by user or group.","$500"
"Conversion Funnel Tracking","FNL","Performance","Gold","Analyze user journey from entry point to action (e.g. sign-up, purchase).","$2000"
"Custom Export to CSV","CSV","Performance","Silver","Allow users or admins to export selected data fields for offline analysis.","$1000"
"Daily Usage Reports","DUR","Performance","Silver","Summarized reports showing user activity and content access on a daily basis.","$1000"
"Feedback Collection Forms","FDB","Performance","Standard","Capture user sentiment post-session, post-course, or after key actions.","$500"
"Graph & Chart Renderer","GPH","Performance","Standard","Dynamic rendering of bar, line, and pie charts using internal or external libraries.","$500"
"Heatmap Interaction Reports","HMP","Performance","Gold","Visual overlays showing where users click, scroll, and pause.","$2000"
"Real-Time Analytics Dashboard","RAD","Performance","Platinum","Live data visualization of user activity, page views, and engagement.","$3500"
"Session Duration Metrics","SDM","Performance","Standard","Track how long users spend on specific pages or in learning sessions.","$500"
"User Engagement Timeline","TLN","Performance","Gold","Display chronological behavior of an individual user across the platform.","$2000"
"Audio File Manager","AUD","Video","Silver","Organize, preview, and manage voice recordings or audio materials.","$1000"
"Class Resource Locker","RSL","Video","Gold","Centralized repository for lesson files, handouts, and links.","$2000"
"In-Browser Video Call Module","VID","Video","Platinum","Host live video classes without requiring third-party apps.","$3500"
"Media Upload & Playback","MUP","Video","Gold","Upload and stream videos, audio, and documents in-course.","$2000"
"Presentation Slideshow Viewer","SLD","Video","Silver","Embed and control slideshows for live or recorded lessons.","$1000"
"Screen Share Support","SCR","Video","Gold","Allow instructors or students to share their screens during sessions.","$2000"
"Session Recording Playback","SRP","Video","Gold","Access and replay past classes with built-in player.","$2000"
"Shared Notepad for Classes","NTP","Video","Silver","Live-editable note tool for group or instructor notes during sessions.","$1000"
"Video Hosting Integration","VHO","Video","Silver","Connect platforms like Vimeo, YouTube, or internal storage.","$1000"
"Whiteboard Sharing Tool","WBD","Video","Gold","Real-time collaborative whiteboard for visual explanations.","$2000"
